datetime,discharge_cfs,qualifiers_discharge,height_ft,qualifiers_gauge,precipitation_in,qualifiers_precip
2023-09-27T00:00:00.000-04:00,77.4,['A'],2.71,['A'],0.0,['A']
2023-09-27T00:15:00.000-04:00,77.4,['A'],2.71,['A'],0.0,['A']
2023-09-27T00:30:00.000-04:00,77.4,['A'],2.71,['A'],0.0,['A']
2023-09-27T00:45:00.000-04:00,73.6,['A'],2.68,['A'],0.0,['A']
2023-09-27T01:00:00.000-04:00,77.4,['A'],2.71,['A'],0.0,['A']
2023-09-27T01:15:00.000-04:00,73.6,['A'],2.68,['A'],0.0,['A']
2023-09-27T01:30:00.000-04:00,73.6,['A'],2.68,['A'],0.0,['A']
2023-09-27T01:45:00.000-04:00,72.4,['A'],2.67,['A'],0.0,['A']
2023-09-27T02:00:00.000-04:00,73.6,['A'],2.68,['A'],0.0,['A']
2023-09-27T02:15:00.000-04:00,73.6,['A'],2.68,['A'],0.0,['A']
2023-09-27T02:30:00.000-04:00,72.4,['A'],2.67,['A'],0.0,['A']
2023-09-27T02:45:00.000-04:00,71.2,['A'],2.66,['A'],0.0,['A']
2023-09-27T03:00:00.000-04:00,72.4,['A'],2.67,['A'],0.0,['A']
2023-09-27T03:15:00.000-04:00,72.4,['A'],2.67,['A'],0.0,['A']
2023-09-27T03:30:00.000-04:00,72.4,['A'],2.67,['A'],0.0,['A']
2023-09-27T03:45:00.000-04:00,67.7,['A'],2.63,['A'],0.0,['A']
2023-09-27T04:00:00.000-04:00,67.7,['A'],2.63,['A'],0.0,['A']
2023-09-27T04:15:00.000-04:00,68.9,['A'],2.64,['A'],0.0,['A']
2023-09-27T04:30:00.000-04:00,67.7,['A'],2.63,['A'],0.0,['A']
2023-09-27T04:45:00.000-04:00,68.9,['A'],2.64,['A'],0.0,['A']
2023-09-27T05:00:00.000-04:00,67.7,['A'],2.63,['A'],0.0,['A']
2023-09-27T05:15:00.000-04:00,67.7,['A'],2.63,['A'],0.0,['A']
2023-09-27T05:30:00.000-04:00,64.4,['A'],2.6,['A'],0.0,['A']
2023-09-27T05:45:00.000-04:00,67.7,['A'],2.63,['A'],0.0,['A']
2023-09-27T06:00:00.000-04:00,66.6,['A'],2.62,['A'],0.0,['A']
2023-09-27T06:15:00.000-04:00,66.6,['A'],2.62,['A'],0.0,['A']
2023-09-27T06:30:00.000-04:00,65.5,['A'],2.61,['A'],0.0,['A']
2023-09-27T06:45:00.000-04:00,65.5,['A'],2.61,['A'],0.0,['A']
2023-09-27T07:00:00.000-04:00,66.6,['A'],2.62,['A'],0.0,['A']
2023-09-27T07:15:00.000-04:00,65.5,['A'],2.61,['A'],0.0,['A']
2023-09-27T07:30:00.000-04:00,65.5,['A'],2.61,['A'],0.0,['A']
2023-09-27T07:45:00.000-04:00,62.2,['A'],2.58,['A'],0.0,['A']
2023-09-27T08:00:00.000-04:00,63.3,['A'],2.59,['A'],0.0,['A']
2023-09-27T08:15:00.000-04:00,62.2,['A'],2.58,['A'],0.0,['A']
2023-09-27T08:30:00.000-04:00,63.3,['A'],2.59,['A'],0.0,['A']
2023-09-27T08:45:00.000-04:00,60.0,['A'],2.56,['A'],0.0,['A']
2023-09-27T09:00:00.000-04:00,62.2,['A'],2.58,['A'],0.0,['A']
2023-09-27T09:15:00.000-04:00,60.0,['A'],2.56,['A'],0.0,['A']
2023-09-27T09:30:00.000-04:00,62.2,['A'],2.58,['A'],0.0,['A']
2023-09-27T09:45:00.000-04:00,62.2,['A'],2.58,['A'],0.0,['A']
2023-09-27T10:00:00.000-04:00,60.0,['A'],2.56,['A'],0.0,['A']
2023-09-27T10:15:00.000-04:00,60.0,['A'],2.56,['A'],0.0,['A']
2023-09-27T10:30:00.000-04:00,60.0,['A'],2.56,['A'],0.0,['A']
2023-09-27T10:45:00.000-04:00,60.0,['A'],2.56,['A'],0.0,['A']
2023-09-27T11:00:00.000-04:00,60.0,['A'],2.56,['A'],0.0,['A']
2023-09-27T11:15:00.000-04:00,56.9,['A'],2.53,['A'],0.0,['A']
2023-09-27T11:30:00.000-04:00,59.0,['A'],2.55,['A'],0.0,['A']
2023-09-27T11:45:00.000-04:00,59.0,['A'],2.55,['A'],0.0,['A']
2023-09-27T12:00:00.000-04:00,57.9,['A'],2.54,['A'],0.0,['A']
2023-09-27T12:15:00.000-04:00,56.9,['A'],2.53,['A'],0.0,['A']
2023-09-27T12:30:00.000-04:00,56.9,['A'],2.53,['A'],0.0,['A']
2023-09-27T12:45:00.000-04:00,54.8,['A'],2.51,['A'],0.0,['A']
2023-09-27T13:00:00.000-04:00,56.9,['A'],2.53,['A'],0.0,['A']
2023-09-27T13:15:00.000-04:00,53.8,['A'],2.5,['A'],0.0,['A']
2023-09-27T13:30:00.000-04:00,56.9,['A'],2.53,['A'],0.0,['A']
2023-09-27T13:45:00.000-04:00,55.8,['A'],2.52,['A'],0.0,['A']
2023-09-27T14:00:00.000-04:00,55.8,['A'],2.52,['A'],0.0,['A']
2023-09-27T14:15:00.000-04:00,53.8,['A'],2.5,['A'],0.0,['A']
2023-09-27T14:30:00.000-04:00,51.8,['A'],2.48,['A'],0.0,['A']
2023-09-27T14:45:00.000-04:00,53.8,['A'],2.5,['A'],0.0,['A']
2023-09-27T15:00:00.000-04:00,53.8,['A'],2.5,['A'],0.0,['A']
2023-09-27T15:15:00.000-04:00,51.8,['A'],2.48,['A'],0.0,['A']
2023-09-27T15:30:00.000-04:00,53.8,['A'],2.5,['A'],0.0,['A']
2023-09-27T15:45:00.000-04:00,52.8,['A'],2.49,['A'],0.0,['A']
2023-09-27T16:00:00.000-04:00,51.8,['A'],2.48,['A'],0.0,['A']
2023-09-27T16:15:00.000-04:00,50.9,['A'],2.47,['A'],0.0,['A']
2023-09-27T16:30:00.000-04:00,49.9,['A'],2.46,['A'],0.0,['A']
2023-09-27T16:45:00.000-04:00,50.9,['A'],2.47,['A'],0.0,['A']
2023-09-27T17:00:00.000-04:00,50.9,['A'],2.47,['A'],0.0,['A']
2023-09-27T17:15:00.000-04:00,51.8,['A'],2.48,['A'],0.0,['A']
2023-09-27T17:30:00.000-04:00,49.9,['A'],2.46,['A'],0.0,['A']
2023-09-27T17:45:00.000-04:00,50.9,['A'],2.47,['A'],0.0,['A']
2023-09-27T18:00:00.000-04:00,49.9,['A'],2.46,['A'],0.0,['A']
2023-09-27T18:15:00.000-04:00,49.9,['A'],2.46,['A'],0.0,['A']
2023-09-27T18:30:00.000-04:00,49.0,['A'],2.45,['A'],0.0,['A']
2023-09-27T18:45:00.000-04:00,49.9,['A'],2.46,['A'],0.0,['A']
2023-09-27T19:00:00.000-04:00,49.9,['A'],2.46,['A'],0.0,['A']
2023-09-27T19:15:00.000-04:00,49.0,['A'],2.45,['A'],0.0,['A']
2023-09-27T19:30:00.000-04:00,49.0,['A'],2.45,['A'],0.0,['A']
2023-09-27T19:45:00.000-04:00,48.1,['A'],2.44,['A'],0.0,['A']
2023-09-27T20:00:00.000-04:00,48.1,['A'],2.44,['A'],0.0,['A']
2023-09-27T20:15:00.000-04:00,48.1,['A'],2.44,['A'],0.0,['A']
2023-09-27T20:30:00.000-04:00,47.2,['A'],2.43,['A'],0.0,['A']
2023-09-27T20:45:00.000-04:00,47.2,['A'],2.43,['A'],0.0,['A']
2023-09-27T21:00:00.000-04:00,47.2,['A'],2.43,['A'],0.0,['A']
2023-09-27T21:15:00.000-04:00,45.4,['A'],2.41,['A'],0.0,['A']
2023-09-27T21:30:00.000-04:00,45.4,['A'],2.41,['A'],0.0,['A']
2023-09-27T21:45:00.000-04:00,46.3,['A'],2.42,['A'],0.0,['A']
2023-09-27T22:00:00.000-04:00,46.3,['A'],2.42,['A'],0.0,['A']
2023-09-27T22:15:00.000-04:00,45.4,['A'],2.41,['A'],0.0,['A']
2023-09-27T22:30:00.000-04:00,46.3,['A'],2.42,['A'],0.0,['A']
2023-09-27T22:45:00.000-04:00,43.6,['A'],2.39,['A'],0.0,['A']
2023-09-27T23:00:00.000-04:00,44.5,['A'],2.4,['A'],0.0,['A']
2023-09-27T23:15:00.000-04:00,44.5,['A'],2.4,['A'],0.0,['A']
2023-09-27T23:30:00.000-04:00,44.5,['A'],2.4,['A'],0.0,['A']
2023-09-27T23:45:00.000-04:00,44.5,['A'],2.4,['A'],0.0,['A']
2023-09-28T00:00:00.000-04:00,43.6,['A'],2.39,['A'],0.0,['A']
2023-09-28T00:15:00.000-04:00,42.8,['A'],2.38,['A'],0.0,['A']
2023-09-28T00:30:00.000-04:00,42.8,['A'],2.38,['A'],0.0,['A']
2023-09-28T00:45:00.000-04:00,43.6,['A'],2.39,['A'],0.0,['A']
2023-09-28T01:00:00.000-04:00,42.8,['A'],2.38,['A'],0.0,['A']
2023-09-28T01:15:00.000-04:00,42.8,['A'],2.38,['A'],0.0,['A']
2023-09-28T01:30:00.000-04:00,43.6,['A'],2.39,['A'],0.0,['A']
2023-09-28T01:45:00.000-04:00,42.0,['A'],2.37,['A'],0.0,['A']
2023-09-28T02:00:00.000-04:00,42.0,['A'],2.37,['A'],0.0,['A']
2023-09-28T02:15:00.000-04:00,43.6,['A'],2.39,['A'],0.0,['A']
2023-09-28T02:30:00.000-04:00,42.8,['A'],2.38,['A'],0.0,['A']
2023-09-28T02:45:00.000-04:00,41.1,['A'],2.36,['A'],0.0,['A']
2023-09-28T03:00:00.000-04:00,42.0,['A'],2.37,['A'],0.0,['A']
2023-09-28T03:15:00.000-04:00,42.8,['A'],2.38,['A'],0.0,['A']
2023-09-28T03:30:00.000-04:00,41.1,['A'],2.36,['A'],0.0,['A']
2023-09-28T03:45:00.000-04:00,40.3,['A'],2.35,['A'],0.0,['A']
2023-09-28T04:00:00.000-04:00,42.0,['A'],2.37,['A'],0.0,['A']
2023-09-28T04:15:00.000-04:00,40.3,['A'],2.35,['A'],0.0,['A']
2023-09-28T04:30:00.000-04:00,41.1,['A'],2.36,['A'],0.0,['A']
2023-09-28T04:45:00.000-04:00,40.3,['A'],2.35,['A'],0.0,['A']
2023-09-28T05:00:00.000-04:00,38.7,['A'],2.33,['A'],0.0,['A']
2023-09-28T05:15:00.000-04:00,41.1,['A'],2.36,['A'],0.0,['A']
2023-09-28T05:30:00.000-04:00,40.3,['A'],2.35,['A'],0.0,['A']
2023-09-28T05:45:00.000-04:00,38.7,['A'],2.33,['A'],0.0,['A']
2023-09-28T06:00:00.000-04:00,36.4,['A'],2.3,['A'],0.0,['A']
2023-09-28T06:15:00.000-04:00,39.5,['A'],2.34,['A'],0.0,['A']
2023-09-28T06:30:00.000-04:00,40.3,['A'],2.35,['A'],0.0,['A']
2023-09-28T06:45:00.000-04:00,39.5,['A'],2.34,['A'],0.0,['A']
2023-09-28T07:00:00.000-04:00,39.5,['A'],2.34,['A'],0.0,['A']
2023-09-28T07:15:00.000-04:00,38.7,['A'],2.33,['A'],0.0,['A']
2023-09-28T07:30:00.000-04:00,38.7,['A'],2.33,['A'],0.0,['A']
2023-09-28T07:45:00.000-04:00,37.2,['A'],2.31,['A'],0.0,['A']
2023-09-28T08:00:00.000-04:00,38.7,['A'],2.33,['A'],0.0,['A']
2023-09-28T08:15:00.000-04:00,38.7,['A'],2.33,['A'],0.0,['A']
2023-09-28T08:30:00.000-04:00,38.0,['A'],2.32,['A'],0.0,['A']
2023-09-28T08:45:00.000-04:00,38.0,['A'],2.32,['A'],0.0,['A']
2023-09-28T09:00:00.000-04:00,38.7,['A'],2.33,['A'],0.0,['A']
2023-09-28T09:15:00.000-04:00,38.0,['A'],2.32,['A'],0.0,['A']
2023-09-28T09:30:00.000-04:00,37.2,['A'],2.31,['A'],0.0,['A']
2023-09-28T09:45:00.000-04:00,38.0,['A'],2.32,['A'],0.0,['A']
2023-09-28T10:00:00.000-04:00,38.0,['A'],2.32,['A'],0.0,['A']
2023-09-28T10:15:00.000-04:00,37.2,['A'],2.31,['A'],0.0,['A']
2023-09-28T10:30:00.000-04:00,37.2,['A'],2.31,['A'],0.0,['A']
2023-09-28T10:45:00.000-04:00,38.7,['A'],2.33,['A'],0.0,['A']
2023-09-28T11:00:00.000-04:00,37.2,['A'],2.31,['A'],0.0,['A']
2023-09-28T11:15:00.000-04:00,38.7,['A'],2.33,['A'],0.0,['A']
2023-09-28T11:30:00.000-04:00,37.2,['A'],2.31,['A'],0.0,['A']
2023-09-28T11:45:00.000-04:00,38.0,['A'],2.32,['A'],0.0,['A']
2023-09-28T12:00:00.000-04:00,35.7,['A'],2.29,['A'],0.0,['A']
2023-09-28T12:15:00.000-04:00,37.2,['A'],2.31,['A'],0.0,['A']
2023-09-28T12:30:00.000-04:00,36.4,['A'],2.3,['A'],0.0,['A']
2023-09-28T12:45:00.000-04:00,37.2,['A'],2.31,['A'],0.0,['A']
2023-09-28T13:00:00.000-04:00,36.4,['A'],2.3,['A'],0.0,['A']
2023-09-28T13:15:00.000-04:00,37.2,['A'],2.31,['A'],0.0,['A']
2023-09-28T13:30:00.000-04:00,36.4,['A'],2.3,['A'],0.0,['A']
2023-09-28T13:45:00.000-04:00,35.0,['A'],2.28,['A'],0.0,['A']
2023-09-28T14:00:00.000-04:00,35.7,['A'],2.29,['A'],0.0,['A']
2023-09-28T14:15:00.000-04:00,34.2,['A'],2.27,['A'],0.0,['A']
2023-09-28T14:30:00.000-04:00,36.4,['A'],2.3,['A'],0.0,['A']
2023-09-28T14:45:00.000-04:00,34.2,['A'],2.27,['A'],0.0,['A']
2023-09-28T15:00:00.000-04:00,35.7,['A'],2.29,['A'],0.0,['A']
2023-09-28T15:15:00.000-04:00,34.2,['A'],2.27,['A'],0.0,['A']
2023-09-28T15:30:00.000-04:00,35.7,['A'],2.29,['A'],0.0,['A']
2023-09-28T15:45:00.000-04:00,36.4,['A'],2.3,['A'],0.0,['A']
2023-09-28T16:00:00.000-04:00,35.7,['A'],2.29,['A'],0.0,['A']
2023-09-28T16:15:00.000-04:00,35.0,['A'],2.28,['A'],0.0,['A']
